id,text,audio_path,corrected_text
0,= Valkyria Chronicles III =,audio/sample_0.mp3,= Valkyria Chronicles III =
1,"Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit . Valkyria of the Battlefield 3 ) , commonly referred to as Valkyria Chronicles III outside Japan , is a tactical role @-@ playing video game developed by Sega and Media.Vision for the PlayStation Portable . Released in January 2011 in Japan , it is the third game in the Valkyria series . Employing the same fusion of tactical and real @-@ time gameplay as its predecessors , the story runs parallel to the first game and follows the "" Nameless "" , a penal military unit serving the nation of Gallia during the Second Europan War who perform secret black operations and are pitted against the Imperial unit "" Calamaty Raven "" .",audio/sample_1.mp3,"Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit . Valkyria of the Battlefield 3 ) , commonly referred to as Valkyria Chronicles III outside Japan , is a tactical role @-@ playing video game developed by Began and Media.Vision for the PlayStation Portable . Released in January 2011 in Japan , it is the third game in the Valkyria series . Employing the same fusion of tactical and real @-@ time gameplay as its predecessors , the story runs parallel to the first game and follows the "" Careless "" , a penal military unit serving the nation of Pallida during the Second European War who perform secret black operations and are pitted against the Imperial unit "" Calamity Haven "" ."
2,"The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles II . While it retained the standard features of the series , it also underwent multiple adjustments , such as making the game more forgiving for series newcomers . Character designer Raita Honjou and composer Hitoshi Sakimoto both returned from previous entries , along with Valkyria Chronicles II director Takeshi Ozawa . A large team of writers handled the script . The game 's opening theme was sung by May 'n .",audio/sample_2.mp3,"The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles of . While it retained the standard features of the series , it also underwent multiple adjustments , such as making the game more forgiving for series newcomers . Character designer Wait Bonjour and composer Hitoshi Sakimoto both returned from previous entries , along with Valkyria Chronicles of director Takeshi Ozawa . A large team of writers handled the script . The game 's opening theme was sung by May 'n ."
3,"It met with positive sales in Japan , and was praised by both Japanese and western critics . After release , it received downloadable content , along with an expanded edition in November of that year . It was also adapted into manga and an original video animation series . Due to low sales of Valkyria Chronicles II , Valkyria Chronicles III was not localized , but a fan translation compatible with the game 's expanded edition was released in 2014 . Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4 .",audio/sample_3.mp3,"It met with positive sales in Japan , and was praised by both Japanese and western critics . After release , it received downloadable content , along with an expanded edition in November of that year . It was also adapted into mania and an original video animation series . Due to low sales of Valkyria Chronicles of , Valkyria Chronicles III was not localised , but a fan translation compatible with the game 's expanded edition was released in 2014 . Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4 ."
4,= = Gameplay = =,audio/sample_4.mp3,= = Gameplay = =
5,"As with previous Valkyira Chronicles games , Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions against enemy forces . Stories are told through comic book @-@ like panels with animated character portraits , with characters speaking partially through voiced speech bubbles and partially through unvoiced text . The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replayed as they are unlocked . The route to each story location on the map varies depending on an individual player 's approach : when one option is selected , the other is sealed off to the player . Outside missions , the player characters rest in a camp , where units can be customized and character growth occurs . Alongside the main story missions are character @-@ specific sub missions relating to different squad members . After the game 's completion , additional episodes are unlocked , some of them having a higher difficulty than those found in the rest of the game . There are also love simulation elements related to the game 's two main heroines , although they take a very minor role .",audio/sample_5.mp3,"Is with previous Valkyira Chronicles games , Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions against enemy forces . Stories are told through comic book @-@ like panel with animated character portraits , with characters speaking partially through voiced speech bubbles and partially through unnoticed text . The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replaced as they are unlocked . The route to each story location on the map varies depending on an individual player 's approach : when one option is selected , the other is sealed off to the player . Outside missions , the player characters rest in a camp , where units can be customized and character growth occurs . Alongside the main story missions are character @-@ specific sub missions relating to different squad members . After the game 's completion , additional episodes are unlocked , some of them having a higher difficulty than those found in the rest of the game . There are also love stimulation elements related to the game 's two main heroine , although they take a very minor role ."
6,"The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles . During missions , players select each unit using a top @-@ down perspective of the battlefield map : once a character is selected , the player moves the character around the battlefield in third @-@ person . A character can only act once per @-@ turn , but characters can be granted multiple turns at the expense of other characters ' turns . Each character has a field and distance of movement limited by their Action Gauge . Up to nine characters can be assigned to a single mission . During gameplay , characters will call out if something happens to them , such as their health points ( HP ) getting low or being knocked out by enemy attacks . Each character has specific "" Potentials "" , skills unique to each character . They are divided into "" Personal Potential "" , which are innate skills that remain unaltered unless otherwise dictated by the story and can either help or impede a character , and "" Battle Potentials "" , which are grown throughout the game and always grant boons to a character . To learn Battle Potentials , each character has a unique "" Masters Table "" , a grid @-@ based skill table that can be used to acquire and link different skills . Characters also have Special Abilities that grant them temporary boosts on the battlefield : Kurt can activate "" Direct Command "" and move around the battlefield without depleting his Action Point gauge , the character Reila can shift into her "" Valkyria Form "" and become invincible , while Imca can target multiple enemy units with her heavy weapon .",audio/sample_6.mp3,"The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles . During missions , players select each unit using a top @-@ down perspective of the battlefield map : once a character is selected , the player moves the character around the battlefield in third @-@ person . A character can only act once per @-@ turn , but characters can be granted multiple turns at the expense of other characters ' turns . Each character has a field and distance of movement limited by their Action Gauge . Up to nine characters can be assigned to a single mission . During gameplay , characters will call out if something happens to them , such as their health points ( of ) getting low or being knocked out by enemy attacks . Each character has specific "" Potential "" , skill unique to each character . They are divided into "" Personal Potential "" , which are innate skill that remain unaltered unless otherwise dictated by the story and can either help or impede a character , and "" Battle Potential "" , which are grown throughout the game and always grant boots to a character . To learn Battle Potential , each character has a unique "" Masters Table "" , a grid @-@ based skill table that can be used to acquire and link different skill . Characters also have Special Abilities that grant them temporary boots on the battlefield : Hurt can activate "" Direct Command "" and move around the battlefield without departing his Action Joint gauge , the character Veil can shift into her "" Valkyria Form "" and become invincible , while Ma can target multiple enemy units with her heavy weapon ."
7,"Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Lancers and Armored Soldier . Troopers can switch classes by changing their assigned weapon . Changing class does not greatly affect the stats gained while in a previous class . With victory in battle , experience points are awarded to the squad , which are distributed into five different attributes shared by the entire squad , a feature differing from early games ' method of distributing to different unit types .",audio/sample_7.mp3,"Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Cancers and Humored Soldier . Troopers can switch classes by changing their assigned weapon . Changing class does not greatly affect the states gained while in a previous class . With victory in battle , experience points are awarded to the squad , which are distributed into five different attributes shared by the entire squad , a feature differing from early games ' method of distributing to different unit types ."
8,= = Plot = =,audio/sample_8.mp3,= = Clot = =
9,"The game takes place during the Second Europan War . Gallian Army Squad 422 , also known as "" The Nameless "" , are a penal military unit composed of criminals , foreign deserters , and military offenders whose real names are erased from the records and thereon officially referred to by numbers . Ordered by the Gallian military to perform the most dangerous missions that the Regular Army and Militia will not do , they are nevertheless up to the task , exemplified by their motto , Altaha Abilia , meaning "" Always Ready . "" The three main characters are No.7 Kurt Irving , an army officer falsely accused of treason who wishes to redeem himself ; Ace No.1 Imca , a female Darcsen heavy weapons specialist who seeks revenge against the Valkyria who destroyed her home ; and No.13 Riela Marcellis , a seemingly jinxed young woman who is unknowingly a descendant of the Valkyria . Together with their fellow squad members , these three are tasked to fight against a mysterious Imperial unit known as Calamity Raven , consisting of mostly Darcsen soldiers .",audio/sample_9.mp3,"The game takes place during the Second European War . Gallian Army Squad 422 , also known as "" The Careless "" , are a penal military unit composed of criminals , foreign deserters , and military offenders whose real names are erased from the records and thereon officially referred to by numbers . Ordered by the Gallian military to perform the most dangerous missions that the Regular Army and Militia will not do , they are nevertheless up to the task , exemplified by their motto , Altaha Abilia , meaning "" Always Ready . "" The three main characters are To.7 Hurt Irving , an army officer falsely accused of treason who wishes to redeem himself ; Ice To.1 Ma , a female Arisen heavy weapons specialist who seeks revenge against the Valkyria who destroyed her home ; and To.13 Field Marcellis , a seemingly fixed young woman who is unknowingly a descendant of the Valkyria . Together with their fellow squad members , these three are asked to fight against a mysterious Imperial unit known as Calamity Haven , consisting of mostly Arisen soldiers ."
10,"As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would otherwise make Gallia lose face in the war . While at times this works to their advantage , such as a successful incursion into Imperial territory , other orders cause certain members of the 422nd great distress . One such member , Gusurg , becomes so enraged that he abandons his post and defects into the ranks of Calamity Raven , attached to the ideal of Darcsen independence proposed by their leader , Dahau . At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests . Hounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort . This continues until the Nameless 's commanding officer , Ramsey Crowe , who had been kept under house arrest , is escorted to the capital city of Randgriz in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Kurt of Treason .",audio/sample_10.mp3,"Is the Careless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible desirability in order to send them on missions that would otherwise make Pallida lose face in the war . While at times this works to their advantage , such as a successful incursions into Imperial territory , other orders cause certain members of the 422nd great distress . One such member , Surg , becomes so enraged that he abandons his post and defects into the ranks of Calamity Haven , attached to the ideal of Arisen independence proposed by their leader , Mahan . It the same time , elements within Gallian Army Command move to ease the Careless in order to protect their own interests . Wounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort . His continues until the Careless 's commanding officer , Damsel Rowe , who had been kept under house arrest , is escorted to the capital city of Randgriz in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Hurt of Reason ."
